station,level,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R15,R17,R18,R19,AA,MA,NH,NW,SF,SK,SV,TA,VA,VC
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,3,64.46,0.0,73.86,100.0,53.33,,90.0,86.67,66.53,31.88,66.67,52.0,30.83,44.0,50.0,100.0,80.0,46.67,75.65,23.33,73.12,86.67,0.0,44.0,42.76,71.15,0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,3,78.08,,66.73,,50.0,77.0,86.57,89.76,77.24,0.0,67.5,43.67,30.83,100.0,63.45,100.0,55.0,46.25,77.81,100.0,76.4,89.23,0.0,100.0,48.82,55.81,0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,3,,0.0,69.35,,46.67,88.33,,76.07,79.31,73.75,65.0,48.0,19.17,44.0,36.67,75.0,100.0,45.45,77.38,100.0,75.14,76.67,0.0,44.0,42.96,41.94,0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,3,,,73.23,,57.78,67.22,65.38,82.86,73.79,77.5,58.89,50.33,21.67,72.0,51.75,100.0,80.0,44.55,75.57,65.0,72.21,67.69,0.0,72.0,51.82,57.32,0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),3,70.52,,72.0,,38.89,,,75.0,78.93,0.0,100.0,43.08,26.67,44.0,63.33,70.0,,41.67,75.0,60.0,70.56,78.95,0.0,44.0,40.87,60.53,0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,3,68.69,0.0,73.94,100.0,43.75,83.33,53.33,77.86,62.86,50.0,30.0,33.33,18.33,30.0,23.33,100.0,65.0,56.11,61.46,20.0,75.93,80.8,0.0,30.0,40.0,41.2,0
สถานีขนส่งสตูล,3,75.79,0.0,95.88,100.0,46.67,83.33,70.0,82.14,76.8,0.0,,59.33,30.83,44.0,50.0,100.0,,42.0,72.37,20.0,76.72,77.14,0.0,44.0,57.73,72.0,0
สถานีขนส่งหาดใหญ่,3,51.11,,67.27,100.0,53.33,,94.62,60.24,80.37,0.0,60.0,48.11,25.17,47.5,51.07,100.0,57.5,44.44,78.18,40.0,57.24,85.45,0.0,47.5,38.46,55.83,0
สถานีรถไฟชุมทางทุ่งสง,3,,0.0,75.85,,57.78,84.58,70.77,83.1,67.12,73.75,61.33,57.8,55.83,58.0,56.43,61.25,100.0,54.0,72.98,60.0,74.5,76.67,0.0,58.0,52.65,59.3,0
สถานีรถไฟชุมทางหาดใหญ่,3,,18.61,68.16,100.0,50.0,,85.13,85.0,83.33,96.25,30.0,55.83,,44.0,56.67,66.67,77.5,72.5,79.05,65.0,76.75,79.12,0.0,44.0,50.31,53.44,0
สถานีรถไฟชุมพร,3,62.75,20.27,81.25,100.0,58.89,61.67,71.54,63.57,0.0,39.38,64.0,56.54,13.33,44.0,63.33,71.43,,56.67,69.8,41.43,55.1,78.6,0.0,44.0,47.06,49.13,0
สถานีรถไฟตรัง,3,59.1,0.0,83.51,,53.33,76.67,86.73,81.9,63.85,78.75,63.33,62.33,50.0,44.0,50.0,100.0,100.0,72.67,81.96,25.0,75.08,77.93,0.0,44.0,52.08,62.08,0
สถานีรถไฟปัตตานี (โคกโพธิ์),3,31.28,0.0,61.67,100.0,46.67,75.0,60.77,82.62,68.39,0.0,63.33,54.83,21.67,80.0,36.67,100.0,70.0,50.0,67.22,25.0,69.28,75.24,0.0,80.0,48.33,57.83,0
สถานีรถไฟพัทลุง,3,82.22,19.69,78.15,100.0,74.17,,90.0,91.9,72.22,77.5,74.44,63.0,,58.0,43.33,100.0,100.0,69.17,81.38,27.5,80.24,89.33,0.0,58.0,59.2,73.75,0
สถานีรถไฟยะลา,3,49.47,44.63,56.83,100.0,58.33,60.42,61.92,79.05,59.02,63.75,30.0,45.17,30.83,44.0,76.67,100.0,57.5,58.12,62.35,26.0,61.95,77.3,0.0,44.0,34.69,61.35,0
สถานีรถไฟสุราษฎร์ธานี,3,41.06,20.28,71.64,,55.0,,71.54,81.9,0.0,77.5,100.0,62.33,21.67,100.0,46.67,58.89,57.5,66.52,73.46,30.0,72.03,81.67,0.0,100.0,49.06,48.89,0
สถานีรถไฟสุไหงโก-ลก,3,76.15,36.57,69.97,100.0,50.56,66.67,65.0,75.71,78.21,39.38,87.0,54.03,21.67,57.5,59.52,100.0,68.75,76.0,75.76,66.0,74.06,56.92,0.0,57.5,41.03,54.63,0
