station,level,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R15,R17,R18,R19,AA,MA,NH,NW,SF,SK,SV,TA,VA,VC
สถานีรถไฟยะลา,1,42.25,48.81,59.83,100.0,49.17,58.12,60.0,80.83,57.5,72.5,0.0,47.81,46.25,47.5,30.0,100.0,0.0,40.0,51.61,30.0,63.25,88.57,0.0,47.5,45.71,53.0,0
สถานีรถไฟสุราษฎร์ธานี,1,35.38,21.79,73.0,,42.5,,76.67,82.5,0.0,72.5,0.0,69.38,32.5,100.0,30.0,58.89,0.0,43.33,58.33,30.0,72.97,93.85,0.0,100.0,71.0,44.67,0
สถานีรถไฟสุไหงโก-ลก,1,84.0,36.04,79.95,100.0,47.33,75.0,100.0,97.5,78.89,36.25,75.0,58.73,32.5,66.67,43.33,100.0,0.0,30.0,65.26,30.0,81.79,77.14,0.0,66.67,70.0,50.74,0
ท่าอากาศยานกระบี่,2,74.44,,77.62,83.84,66.67,78.93,77.5,88.71,75.13,0.0,100.0,38.01,26.67,100.0,56.59,83.7,57.5,80.53,75.28,100.0,87.77,95.0,0.0,100.0,60.53,54.68,0
ท่าอากาศยานชุมพร,2,75.45,53.46,74.05,,58.29,65.56,59.17,87.05,77.81,73.75,100.0,76.67,28.75,100.0,70.0,88.75,,66.84,84.13,76.67,85.09,85.37,0.0,100.0,47.8,62.73,0
ท่าอากาศยานตรัง,2,72.42,0.0,77.61,100.0,63.33,87.71,80.42,90.0,63.26,69.38,,46.25,,,50.0,70.0,80.0,75.83,79.1,100.0,87.85,96.25,0.0,0.0,53.08,65.87,0
ท่าอากาศยานนครศรีธรรมราช,2,72.4,0.0,78.75,80.71,56.0,85.57,75.12,92.75,41.25,0.0,,46.25,28.75,72.0,59.52,75.83,77.5,76.67,78.74,100.0,84.42,93.33,0.0,72.0,67.89,57.11,0
ท่าอากาศยานนราธิวาส,2,10.0,41.11,79.25,100.0,58.57,78.33,41.67,84.29,68.57,80.83,63.75,28.75,,30.0,50.0,77.78,57.5,46.43,67.32,37.5,84.5,86.67,0.0,30.0,56.09,60.77,0
ท่าอากาศยานนานาชาติภูเก็ต,2,87.91,38.39,84.26,91.96,66.67,80.38,76.94,100.0,56.01,78.12,60.67,0.0,,86.0,66.46,,,77.24,75.66,66.67,90.86,97.65,0.0,86.0,78.78,66.59,0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,2,81.26,53.37,75.37,81.53,68.52,81.1,70.0,91.0,77.76,73.12,100.0,53.41,0.0,100.0,71.33,,57.5,55.12,82.85,22.11,86.71,79.43,0.0,100.0,58.99,65.99,0
ท่าอากาศยานหาดใหญ่,2,78.27,52.41,84.22,98.41,62.78,84.73,78.14,85.44,94.64,83.75,100.0,39.83,,100.0,64.29,100.0,100.0,75.0,89.93,77.69,89.61,87.92,0.0,100.0,60.95,71.94,0
ท่าอากาศยานเบตง,2,86.92,52.78,90.27,100.0,56.5,75.83,65.0,80.41,85.22,80.0,30.0,37.5,0.0,30.0,35.0,92.38,,74.55,78.13,82.5,92.38,82.96,0.0,30.0,72.45,63.85,0
ท่าเทียบเรือปากเมง,2,74.98,20.28,76.0,100.0,55.0,,,90.0,55.0,0.0,,57.5,28.75,,40.0,,58.75,67.78,65.5,25.0,75.93,81.33,0.0,0.0,49.41,44.44,0
ท่าเทียบเรือศุลกากร ระนอง,2,73.12,0.0,66.05,68.44,60.83,60.48,66.94,72.82,0.0,0.0,30.0,48.64,0.0,58.0,36.67,47.5,30.0,67.0,75.28,0,68.17,77.11,0.0,58.0,51.35,44.48,0
ท่าเทียบเรือหลักเมือง,2,67.78,0.0,0.0,100.0,,,63.75,,0.0,100.0,,67.73,,,,100.0,10.0,100.0,62.67,0,63.75,91.11,0.0,0.0,45.71,30.0,0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),2,33.06,0.0,,100.0,,,100.0,,71.92,,,,,,,,60.0,46.67,78.0,20.0,65.0,60.0,0.0,0.0,65.0,80.0,0
