station,U type,an_point,lv
ท่าเรือปากบารา,MA,61.43,1.0
ท่าเรือปากบารา,NH,0.0,1.0
ท่าเรือปากบารา,NW,72.71,1.0
ท่าเรือปากบารา,SF,87.5,1.0
ท่าเรือปากบารา,SK,0.0,1.0
ท่าเรือปากบารา,SV,0.0,1.0
ท่าเรือปากบารา,TA,76.67,1.0
ท่าเรือปากบารา,VA,34.4,1.0
ท่าเรือปากบารา,VC,0.0,1.0
ท่าเรือรัษฎา,AA,30.0,1.0
ท่าเรือรัษฎา,MA,58.37,1.0
ท่าเรือรัษฎา,NH,0.0,1.0
ท่าเรือรัษฎา,NW,71.32,1.0
ท่าเรือรัษฎา,SF,82.5,1.0
ท่าเรือรัษฎา,SK,0.0,1.0
ท่าเรือรัษฎา,SV,47.5,1.0
ท่าเรือรัษฎา,TA,66.0,1.0
ท่าเรือรัษฎา,VA,36.67,1.0
ท่าเรือรัษฎา,VC,0.0,1.0
ท่าเรือสวนเจ้าฟ้า,AA,0,1.0
ท่าเรือสวนเจ้าฟ้า,MA,44.0,1.0
ท่าเรือสวนเจ้าฟ้า,NH,0,1.0
ท่าเรือสวนเจ้าฟ้า,NW,68.28,1.0
ท่าเรือสวนเจ้าฟ้า,SF,90.0,1.0
ท่าเรือสวนเจ้าฟ้า,SK,0.0,1.0
ท่าเรือสวนเจ้าฟ้า,SV,47.5,1.0
ท่าเรือสวนเจ้าฟ้า,TA,90.0,1.0
ท่าเรือสวนเจ้าฟ้า,VA,44.0,1.0
ท่าเรือสวนเจ้าฟ้า,VC,0,1.0
ท่าเรือสุระกุล,AA,70.0,1.0
ท่าเรือสุระกุล,MA,53.33,1.0
ท่าเรือสุระกุล,NH,0.0,1.0
ท่าเรือสุระกุล,NW,70.0,1.0
ท่าเรือสุระกุล,SF,86.67,1.0
ท่าเรือสุระกุล,SK,0.0,1.0
ท่าเรือสุระกุล,SV,47.5,1.0
ท่าเรือสุระกุล,TA,83.33,1.0
ท่าเรือสุระกุล,VA,30.0,1.0
ท่าเรือสุระกุล,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,AA,35.71,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,MA,58.57,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,NH,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,NW,81.15,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,SF,94.29,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,SV,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,TA,82.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,VA,49.39,1.0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,MA,62.5,1.0
