Station Name,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI,Level
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",2.545,3.05,2.04,2.19,62.34,70.6875,54,2
ท่าอากาศยานหาดใหญ่,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",3.175,3.68,2.67,1.94,73.22,81.4375,65,2
ท่าอากาศยานเบตง,5.7859551,101.1475264,"5.7859551,101.1475264",2.3,2.16,2.44,2.11,56.41,55.8125,57,2
ท่าเทียบเรือปากเมง,7.507745,99.31208000000001,"7.507745,99.31208000000001",1.7349999999999999,2.07,1.4,1.53,47.21,54.416666666666664,40,2
ท่าเทียบเรือศุลกากร ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",1.6400000000000001,1.58,1.7,1.83,43.0,42.0,44,2
ท่าเทียบเรือหลักเมือง,6.8690239,101.2529468,"6.8690239,101.2529468",0.9450000000000001,0.92,0.97,1.58,39.35,40.7,38,2
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),7.2180985,100.57996240000001,"7.2180985,100.57996240000001",1.91,2.26,1.56,1.41,50.83,60.666666666666664,41,2
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),7.2209686,100.5748434,"7.2209686,100.5748434",0.525,0.61,0.44,1.52,24.3,24.6,24,2
ท่าเรือคงคา,8.061873,98.919443,"8.061873,98.919443",1.72,1.98,1.46,1.77,46.33,52.666666666666664,40,2
ท่าเรือทุ่งมะขามน้อย,10.3583753,99.2662816,"10.3583753,99.2662816",2.29,2.77,1.81,2.2,56.29,65.57142857142857,47,2
ท่าเรือปากบารา,6.8603952,99.7216042,"6.8603952,99.7216042",1.865,2.73,1.0,1.95,50.22,63.44444444444444,37,2
ท่าเรือรัษฎา,7.8712791,98.4143437,"7.8712791,98.4143437",2.1100000000000003,2.6,1.62,1.98,53.57,62.13333333333333,45,2
ท่าเรือสวนเจ้าฟ้า,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",1.855,2.28,1.43,1.98,50.25,58.5,42,2
ท่าเรือสุระกุล,8.390053446,98.46033096,"8.390053446,98.46033096",1.2,1.21,1.19,2.13,37.0,36.0,38,2
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",2.29,2.77,1.81,1.92,55.64,62.285714285714285,49,2
สถานีขนส่งผู้โดยสารจังหวัดตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",2.025,2.44,1.61,1.48,55.17,63.333333333333336,47,2
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",1.8250000000000002,1.87,1.78,2.13,47.86,45.714285714285715,50,2
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",2.07,2.28,1.86,1.71,52.75,55.5,50,2
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",2.1,2.37,1.83,1.71,53.91,58.8125,49,2
สถานีขนส่งผู้โดยสารจังหวัดพังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",2.38,2.89,1.87,2.02,56.78,65.5625,48,2
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",2.12,2.61,1.63,1.87,56.06,64.125,48,2
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",2.5599999999999996,2.78,2.34,2.12,64.23,67.46666666666667,61,2
สถานีขนส่งผู้โดยสารจังหวัดระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",2.16,2.59,1.73,2.39,56.79,60.57142857142857,53,2
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",2.5949999999999998,3.04,2.15,2.3,59.89,67.78571428571429,52,2
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),10.4869959,99.1206392,"10.4869959,99.1206392",2.19,2.53,1.85,1.98,54.17,59.333333333333336,49,2
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",1.56,1.75,1.37,1.67,45.12,48.23529411764706,42,2
สถานีขนส่งสตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",2.175,2.57,1.78,1.7,55.43,62.86666666666667,48,2
สถานีขนส่งหาดใหญ่,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",2.0149999999999997,2.36,1.67,1.88,54.23,61.46666666666667,47,2
สถานีรถไฟชุมทางทุ่งสง,8.170674,99.679337,"8.170674,99.679337",2.365,2.67,2.06,2.08,58.4,64.8,52,2
สถานีรถไฟชุมทางหาดใหญ่,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",2.4299999999999997,2.76,2.1,2.0,59.36,65.71428571428571,53,2
สถานีรถไฟชุมพร,10.502997,99.175949,"10.502997,99.175949",2.02,2.35,1.69,1.37,50.31,55.625,45,2
สถานีรถไฟตรัง,7.55448,99.6046,"7.55448,99.6046",2.35,2.73,1.97,1.87,58.38,66.75,50,2
สถานีรถไฟปัตตานี (โคกโพธิ์),6.72947,101.094,"6.72947,101.094",2.115,2.1,2.13,1.71,51.29,51.588235294117645,51,2
สถานีรถไฟพัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",2.745,3.35,2.14,1.96,64.8,75.6,54,2
สถานีรถไฟยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",2.015,2.31,1.72,1.83,49.03,55.05882352941177,43,2
สถานีรถไฟสุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",2.135,2.27,2.0,1.86,56.43,58.86666666666667,54,2
สถานีรถไฟสุไหงโก-ลก,6.02571,101.963,"6.02571,101.963",2.325,2.55,2.1,2.08,55.56,60.11764705882353,51,2
ท่าอากาศยานกระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",2.665,2.84,2.49,2.14,64.84,66.6875,63,3
ท่าอากาศยานชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",2.6950000000000003,3.04,2.35,2.15,63.9,69.8,58,3
ท่าอากาศยานตรัง,7.512011,99.61547,"7.512011,99.61547",2.41,2.84,1.98,2.01,59.79,66.57142857142857,53,3
ท่าอากาศยานนครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",2.505,2.51,2.5,2.08,59.09,57.1875,61,3
ท่าอากาศยานนราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",1.8250000000000002,2.06,1.59,2.05,48.66,52.3125,45,3
ท่าอากาศยานนานาชาติภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",2.82,3.05,2.59,2.23,65.46,68.92857142857143,62,3
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",2.505,2.99,2.02,2.15,61.5,70.0,53,3
ท่าอากาศยานหาดใหญ่,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",3.135,3.66,2.61,1.98,72.56,81.125,64,3
ท่าอากาศยานเบตง,5.7859551,101.1475264,"5.7859551,101.1475264",2.255,2.25,2.26,2.09,55.5,56.0,55,3
ท่าเทียบเรือปากเมง,7.507745,99.31208000000001,"7.507745,99.31208000000001",1.6150000000000002,1.87,1.36,1.52,44.83,51.666666666666664,38,3
ท่าเทียบเรือศุลกากร ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",1.615,1.55,1.68,1.83,41.65,41.294117647058826,42,3
ท่าเทียบเรือหลักเมือง,6.8690239,101.2529468,"6.8690239,101.2529468",0.9199999999999999,0.83,1.01,1.62,37.5,40.0,35,3
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),7.2180985,100.57996240000001,"7.2180985,100.57996240000001",1.9100000000000001,2.25,1.57,1.45,50.75,60.5,41,3
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),7.2209686,100.5748434,"7.2209686,100.5748434",0.525,0.61,0.44,1.53,24.3,24.6,24,3
ท่าเรือคงคา,8.061873,98.919443,"8.061873,98.919443",1.63,1.86,1.4,1.82,44.79,51.583333333333336,38,3
ท่าเรือทุ่งมะขามน้อย,10.3583753,99.2662816,"10.3583753,99.2662816",2.125,2.49,1.76,2.15,53.07,62.142857142857146,44,3
ท่าเรือปากบารา,6.8603952,99.7216042,"6.8603952,99.7216042",1.7999999999999998,2.63,0.97,1.96,48.5,61.0,36,3
ท่าเรือรัษฎา,7.8712791,98.4143437,"7.8712791,98.4143437",2.005,2.41,1.6,1.88,52.07,60.13333333333333,44,3
ท่าเรือสวนเจ้าฟ้า,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",1.7799999999999998,2.13,1.43,1.89,48.25,56.5,40,3
ท่าเรือสุระกุล,8.390053446,98.46033096,"8.390053446,98.46033096",1.1,1.04,1.16,2.03,35.46,33.916666666666664,37,3
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",2.2199999999999998,2.69,1.75,1.9,53.68,60.357142857142854,47,3
สถานีขนส่งผู้โดยสารจังหวัดตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",1.88,2.23,1.53,1.62,53.57,62.13333333333333,45,3
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",1.71,1.72,1.7,2.11,45.93,43.857142857142854,48,3
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",1.935,2.1,1.77,1.72,50.97,53.9375,48,3
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",2.04,2.28,1.8,1.68,51.91,56.8125,47,3
สถานีขนส่งผู้โดยสารจังหวัดพังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",2.265,2.85,1.68,1.98,54.53,64.0625,45,3
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",2.02,2.5,1.54,1.85,53.78,61.5625,46,3
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",2.45,2.66,2.24,2.1,62.2,65.4,59,3
สถานีขนส่งผู้โดยสารจังหวัดระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",2.0250000000000004,2.47,1.58,2.28,54.21,58.42857142857143,50,3
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",2.52,2.94,2.1,2.22,58.07,66.14285714285714,50,3
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),10.4869959,99.1206392,"10.4869959,99.1206392",2.105,2.43,1.78,1.94,51.29,56.583333333333336,46,3
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",1.54,1.74,1.34,1.65,43.76,47.529411764705884,40,3
สถานีขนส่งสตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",2.085,2.48,1.69,1.67,53.33,60.666666666666664,46,3
สถานีขนส่งหาดใหญ่,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",1.915,2.26,1.57,1.77,51.77,59.53333333333333,44,3
สถานีรถไฟชุมทางทุ่งสง,8.170674,99.679337,"8.170674,99.679337",2.32,2.59,2.05,2.01,56.9,63.8,50,3
สถานีรถไฟชุมทางหาดใหญ่,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",2.38,2.72,2.04,2.03,58.11,65.21428571428571,51,3
สถานีรถไฟชุมพร,10.502997,99.175949,"10.502997,99.175949",1.9649999999999999,2.27,1.66,1.38,48.56,54.125,43,3
สถานีรถไฟตรัง,7.55448,99.6046,"7.55448,99.6046",2.255,2.62,1.89,1.84,56.75,65.5,48,3
สถานีรถไฟปัตตานี (โคกโพธิ์),6.72947,101.094,"6.72947,101.094",1.895,2.0,1.79,1.66,47.91,49.8235294117647,46,3
สถานีรถไฟพัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",2.6950000000000003,3.25,2.14,1.99,63.87,74.73333333333333,53,3
สถานีรถไฟยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",1.96,2.23,1.69,1.79,47.79,53.588235294117645,42,3
สถานีรถไฟสุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",2.0549999999999997,2.19,1.92,1.85,54.17,57.333333333333336,51,3
สถานีรถไฟสุไหงโก-ลก,6.02571,101.963,"6.02571,101.963",2.23,2.5,1.96,2.03,53.91,58.8235294117647,49,3
