fid,Name_gmap,s_id,agency,name_th,name_en,stn_mode,stn_level,province,phase1,stn_id,description,subdistrict,district,region,acc_score,x,y
96,Lomprayah Pier,225,เอกชน,ท่าเรือลมพระยา เกาะพะงัน,,ferry,1,สุราษฎร์ธานี,,p058,,,เกาะพะงัน,south,,9.7109478,99.9824578
47,เรือเร็วลมพระยา,226,เอกชน,ท่าเรือลมพระยา เกาะสมุย,,ferry,0,สุราษฎร์ธานี,,p059,,,,south,,9.5839084,99.983772
95,Lipa Noi Pier,227,,ท่าเรือลิพาน้อย,Lipa Noi Pier,ferry,3,สุราษฎร์ธานี,,p060,,,สมุย,south,,9.4816799,99.9255524
97,Songserm Pier,228,เอกชน,ท่าเรือส่งเสริม เกาะพะงัน,,ferry,1,สุราษฎร์ธานี,,p061,,,เกาะพะงัน,south,,9.7112742,99.9835458
94,Nathon Pier,229,,ท่าเรือหน้าทอน,,ferry,3,สุราษฎร์ธานี,,p062,,,สมุย,south,,9.5362747,99.9342809
101,Tha Thong Pier,230,,ท่าเรือท่าทอง,,harbor,0,สุราษฎร์ธานี,,p068,ท่าเรือขนส่ง,,,south,,9.1843814,99.3708085
102,คิวรถตู้ ชุมพร - สุราษร์,231,,คิวรถตู้ ชุมพร - สุราษร์,,local,1,สุราษฎร์ธานี,,v001,,,,south,,10.4998857,99.1800431
107,คิวรถตู้ สุราษฏร์-หาดใหญ่,232,,คิวรถตู้ สุราษฏร์-หาดใหญ่,,local,1,สุราษฎร์ธานี,,v002,,,,south,,9.1433364,99.3306414
104,คิวรถตู้ไชราษ,233,,คิวรถตู้ไชราษ,,local,1,สุราษฎร์ธานี,,v004,,,,south,,10.4956821,99.1744215
106,คิวรถตู้สุราษฎร์ธานี ไชยา,234,,คิวรถตู้สุราษฎร์ธานี ไชยา,,local,1,สุราษฎร์ธานี,,v005,,,,south,,9.143832,99.3303695
160,Khao Phanom Baek,235,รฟท,สถานีรถไฟเขาพนมแบก,Khao Phanom Baek,train,3,สุราษฎร์ธานี,,4218,ธนบุรี - สุไหงโกลก,ป่าเว,ไชยา,south,,9.47069,99.1793
170,Khao Phlu,236,รฟท,สถานีรถไฟเขาพลู,Khao Phlu,train,3,สุราษฎร์ธานี,,4245,ธนบุรี - สุไหงโกลก,ท่าสะท้อน,พุนพิน,south,,8.97341,99.2939
123,Khao Lung,237,รฟท,สถานีรถไฟเขาหลุง,Khao Lung,train,ที่หยุดรถ,สุราษฎร์ธานี,,4236,ทุ่งโพธิ์ - คีรีรัฐนิคม,บ้านยาง,คีรีรัฐนิคม,south,,9.0472135,99.006861
168,Khao Hua Khwai,238,รฟท,สถานีรถไฟเขาหัวควาย,Khao Hua Khwai,train,3,สุราษฎร์ธานี,,4241,ธนบุรี - สุไหงโกลก,เขาหัวควาย,พุนพิน,south,,9.0558382,99.2558812
163,Khlong Khut,239,รฟท,สถานีรถไฟคลองขุด,Khlong Khut,train,ที่หยุดรถ,สุราษฎร์ธานี,,4225,ธนบุรี - สุไหงโกลก,ท่าฉาง,ท่าฉาง,south,,9.2469875,99.18681
164,Khlong Sai,240,รฟท,สถานีรถไฟคลองไทร,Khlong Sai,train,3,สุราษฎร์ธานี,,4226,ธนบุรี - สุไหงโกลก,คลองไทร,ท่าฉาง,south,,9.20874,99.1646
175,สถานีรถไฟคลองปราบ,241,รฟท,สถานีรถไฟคลองปราบ,Khlong Prap,train,ที่หยุดรถ,สุราษฎร์ธานี,,4252,ธนบุรี - สุไหงโกลก,คลองปราบ,บ้านนาสาร,south,,8.7672645,99.3638877
122,Khlong Yan,242,รฟท,สถานีรถไฟคลองยัน,Khlong Yan,train,ที่หยุดรถ,สุราษฎร์ธานี,,4235,ทุ่งโพธิ์ - คีรีรัฐนิคม,ท่ากระดาน,คีรีรัฐนิคม,south,,9.0579315,99.0242136
171,Khlong Ya,243,รฟท,สถานีรถไฟคลองยา,Khlong Ya,train,ที่หยุดรถ,สุราษฎร์ธานี,,4246,ธนบุรี - สุไหงโกลก,ท่าเรือ,บ้านนาเดิม,south,,8.9363027,99.2984866
177,Khlong Sun,244,รฟท,สถานีรถไฟคลองสูญ,Khlong Sun,train,ที่หยุดรถ,สุราษฎร์ธานี,,4254,ธนบุรี - สุไหงโกลก,เวียงสระ,เวียงสระ,south,,8.6564821,99.3604552
